,price,retail_price,units_sold,uses_ad_boosts,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,countries_shipped_to,urgency_text,merchant_rating_count,merchant_rating
214,8.0,7,100000,1,4663.0,2418.0,1868.0,842.0,1271.0,green,M,10,Livraison standard,2,38,None,108048,4.0525044424700125
401,15.0,115,50000,1,3278.0,1411.0,998.0,431.0,617.0,white,M,2,Livraison standard,4,38,None,165915,4.256076906849893
1018,7.0,22,100000,1,5355.0,2430.0,1974.0,960.0,1194.0,other,S,50,Livraison standard,2,46,None,320031,4.2188662973274464
92,5.77,48,100000,0,11184.0,4152.0,2919.0,1174.0,1315.0,black,XS,50,Livraison standard,2,46,None,330405,4.06734764909732
1168,5.67,19,100000,0,6769.0,3404.0,3658.0,2003.0,2559.0,grey,M,50,Livraison standard,1,37,Quantité limitée !,19248,3.889131338320865
1028,11.0,10,50000,0,6325.0,3006.0,1998.0,916.0,1243.0,black,S,50,Livraison standard,3,31,None,17816,4.179445442299056
251,5.0,33,100000,0,6862.0,2836.0,2131.0,901.0,1059.0,orange,S,50,Livraison standard,1,41,None,366898,4.036080872613097
17,5.0,25,100000,1,8290.0,3483.0,2951.0,1410.0,1846.0,white,S,50,Livraison standard,1,41,Quantité limitée !,139223,3.933581376640354
40,9.0,81,50000,0,3111.0,1172.0,650.0,204.0,222.0,black,L,50,Livraison standard,3,40,None,59198,4.105054224804892
952,9.0,8,50000,0,6060.0,2562.0,2214.0,1033.0,1329.0,yellow,S,50,Livraison standard,3,53,None,37076,4.302082209515589
767,22.0,19,20000,1,461.0,218.0,170.0,94.0,160.0,blue,S,50,Livraison standard,6,38,None,4107,4.09690771852934
1466,8.0,84,50000,0,7530.0,3351.0,3057.0,1736.0,2789.0,other,S,50,Livraison standard,3,36,Quantité limitée !,51369,3.9682688002491777
893,8.0,54,50000,0,5946.0,2952.0,2624.0,1310.0,1736.0,grey,S,50,Livraison standard,3,78,None,78307,3.8402569374385433
1020,19.0,105,20000,1,2541.0,673.0,309.0,73.0,191.0,purple,OTHER,50,Livraison standard,6,57,None,295161,4.32994873984029
548,18.0,16,20000,0,2638.0,851.0,473.0,213.0,246.0,black_white,M,50,Livraison standard,5,10,None,18910,4.387414066631412
498,7.0,13,50000,1,2998.0,1514.0,1827.0,1136.0,1600.0,grey,S,50,Livraison standard,2,40,None,839882,4.103759813878616
6,7.0,6,50000,0,3172.0,1352.0,971.0,490.0,757.0,white,XS,50,Livraison standard,2,31,None,10194,4.076515597410241
84,7.0,6,50000,1,11548.0,3191.0,1632.0,507.0,566.0,green,M,2,Livraison standard,2,35,None,126370,4.14695734747171
875,7.0,6,50000,0,5077.0,1860.0,1185.0,467.0,618.0,black,M,6,Livraison standard,2,18,Quantité limitée !,15538,4.156197708842837
1380,16.0,14,20000,0,1736.0,573.0,281.0,111.0,158.0,black,M,50,Livraison standard,5,10,None,18910,4.387414066631412
1516,15.0,13,20000,0,2458.0,726.0,355.0,134.0,172.0,white,M,50,Livraison standard,4,10,None,18910,4.387414066631412
957,6.0,6,50000,0,7337.0,2647.0,1643.0,623.0,630.0,black,S,18,Livraison standard,2,53,None,38264,4.227942713777964
381,5.7,58,50000,0,2936.0,1396.0,1547.0,970.0,1315.0,black,XL,50,Livraison standard,1,45,None,96276,4.096233744650797
740,14.0,12,20000,1,2246.0,1221.0,1098.0,506.0,820.0,yellow,M,50,Livraison standard,3,32,None,14553,3.915275200989487
996,13.0,11,20000,1,603.0,321.0,343.0,263.0,661.0,green,M,34,Livraison standard,3,35,None,14482,4.001588178428394
537,13.0,11,20000,1,2301.0,939.0,572.0,248.0,318.0,blue,S,50,Livraison standard,3,43,Quantité limitée !,44067,4.288492522749451
1215,13.0,252,20000,0,5723.0,2701.0,1656.0,751.0,1210.0,black,OTHER,50,Livraison standard,3,35,None,45964,4.097119484814201
692,13.0,30,20000,0,863.0,469.0,621.0,510.0,958.0,other,M,50,Livraison standard,3,45,Quantité limitée !,200089,4.0966669831924785
333,5.0,5,50000,0,3367.0,1510.0,1148.0,469.0,594.0,blue,S,50,Livraison standard,1,29,None,11481,4.095287866910549
472,12.0,11,20000,1,702.0,339.0,272.0,144.0,254.0,black,S,29,Livraison standard,3,36,None,55499,4.138885385322259
536,12.0,81,20000,0,960.0,346.0,285.0,97.0,111.0,white,M,50,Livraison standard,3,38,None,151914,4.127921060600077
842,12.0,11,20000,1,932.0,422.0,317.0,151.0,244.0,black,M,25,Livraison standard,3,49,Quantité limitée !,55670,4.1214837434884135
1511,12.0,76,20000,0,1312.0,611.0,337.0,88.0,129.0,other,L,50,Livraison standard,3,38,None,151914,4.127921060600077
1508,12.0,11,20000,0,2940.0,1130.0,712.0,295.0,274.0,yellow,L,50,Livraison standard,3,36,None,30892,4.111647028356857
353,12.0,118,20000,1,2611.0,850.0,449.0,145.0,211.0,black,S,50,Livraison standard,3,38,None,165915,4.256076906849893
144,12.0,11,20000,1,1099.0,449.0,362.0,154.0,230.0,pink,L,25,Livraison standard,3,50,None,59903,4.153665091898569
1149,12.0,110,20000,1,1530.0,500.0,295.0,145.0,278.0,khaki,M,50,Livraison standard,3,41,Quantité limitée !,8191,4.190208765718471
1188,4.66,11,50000,1,5274.0,1869.0,1519.0,684.0,776.0,purple,M,1,Livraison standard,1,44,None,203805,4.216476533941759
721,11.0,250,20000,0,1342.0,691.0,618.0,301.0,445.0,white,S,50,Livraison standard,3,47,Quantité limitée !,402743,4.156715324661136
1534,11.0,18,20000,1,3125.0,1205.0,838.0,305.0,286.0,pink,S,50,Livraison standard,3,46,Quantité limitée !,320031,4.2188662973274464
347,11.0,10,20000,0,2418.0,548.0,327.0,126.0,229.0,black,XL,1,Livraison standard,2,39,None,4448,4.29226618705036
277,11.0,10,20000,0,985.0,356.0,320.0,156.0,343.0,red,S,50,Livraison standard,2,37,Quantité limitée !,5281,4.023291043363
922,11.0,14,20000,1,3689.0,1502.0,1160.0,592.0,1086.0,black,S,19,Livraison standard,2,43,Quantité limitée !,17760,4.137105855855856
478,11.0,38,20000,1,3598.0,1821.0,1607.0,808.0,1137.0,black,S,50,Livraison standard,2,42,None,73701,4.105127474525448
753,11.0,19,20000,1,1334.0,459.0,339.0,201.0,396.0,red,S,50,Livraison standard,2,41,None,4336,4.003228782287823
654,11.0,14,20000,1,3689.0,1502.0,1160.0,592.0,1086.0,black,S,19,Livraison standard,2,43,None,17760,4.137105855855856
89,11.0,10,20000,1,1635.0,642.0,392.0,177.0,224.0,other,L,50,Livraison standard,2,35,None,12974,3.965700632033297
665,11.0,10,20000,1,1097.0,482.0,430.0,227.0,397.0,grey,S,50,Livraison standard,2,35,None,12441,3.924684510891408
268,11.0,50,20000,0,1646.0,632.0,324.0,126.0,150.0,white,M,50,Livraison standard,3,43,None,36361,3.9675201452105284
455,11.0,106,20000,1,4974.0,2091.0,1409.0,655.0,1021.0,white,S,12,Livraison standard,3,45,Quantité limitée !,25093,4.068664567807756
1009,11.0,10,20000,1,1194.0,480.0,401.0,223.0,384.0,purple,L,50,Livraison standard,3,35,None,12974,3.965700632033297
564,11.0,84,20000,0,1328.0,706.0,611.0,377.0,550.0,brown,XS,50,Livraison standard,3,60,Quantité limitée !,11965,4.0171333054742995
1010,11.0,83,20000,0,2720.0,1171.0,820.0,408.0,600.0,khaki,M,50,Livraison standard,2,38,None,151914,4.127921060600077
563,11.0,10,20000,0,3624.0,1733.0,1531.0,761.0,960.0,black,S,50,Livraison standard,3,41,None,32394,3.9246774093968018
731,11.0,20,20000,0,1417.0,804.0,786.0,411.0,511.0,other,M,50,Livraison standard,2,37,None,33839,3.9623806850084224
608,11.0,37,20000,0,2679.0,1403.0,1317.0,793.0,1404.0,black,S,50,Livraison standard,3,39,Quantité limitée !,58068,4.310188055383343
790,4.0,6,50000,0,5479.0,2331.0,1605.0,665.0,847.0,purple,S,50,Livraison standard,1,30,None,13665,4.094694474935968
307,9.0,8,20000,1,2089.0,901.0,650.0,287.0,377.0,white,M,50,Livraison standard,3,41,Quantité limitée !,18877,4.079885575038406
1137,9.0,8,20000,1,2943.0,1022.0,662.0,258.0,347.0,purple,2XS,10,Livraison standard,3,38,Quantité limitée !,8776,4.1530309936189616
184,9.0,36,20000,0,2341.0,878.0,607.0,230.0,289.0,black,S,50,Standard Shipping,3,42,None,49327,4.168345936302633
651,9.0,26,20000,0,500.0,218.0,171.0,110.0,194.0,blue,S,50,Livraison standard,3,43,None,22711,3.8720443837787855
271,9.0,50,20000,0,1415.0,448.0,305.0,116.0,156.0,black,M,50,Livraison standard,3,41,None,15106,4.007149477028995
737,9.0,9,20000,0,2616.0,1011.0,657.0,284.0,306.0,black,S,50,Livraison standard,3,41,None,20681,3.9993714037038823
1557,9.0,76,20000,0,2635.0,1394.0,1315.0,715.0,1029.0,green,S,50,Livraison standard,3,36,None,51369,3.9682688002491777
1171,9.0,8,20000,1,2089.0,901.0,650.0,287.0,377.0,white,M,50,Livraison standard,3,41,None,18877,4.079885575038406
18,9.0,9,20000,0,2456.0,1162.0,853.0,431.0,577.0,blue,S,50,Livraison standard,3,43,None,22089,4.081624337905745
562,9.0,8,20000,1,3029.0,1251.0,982.0,455.0,643.0,other,XS,50,Livraison standard,3,39,Quantité limitée !,40616,4.098557218830018
93,9.0,8,20000,0,1726.0,654.0,568.0,324.0,548.0,grey,M,44,Livraison standard,3,20,None,15748,4.064643129286258
1290,9.0,14,20000,1,1162.0,542.0,559.0,339.0,742.0,white,S,50,Livraison standard,3,33,None,25356,3.9025477204606407
215,18.0,17,10000,0,1834.0,691.0,340.0,140.0,224.0,other,OTHER,18,Livraison standard,5,39,None,3309,4.2505288606829845
118,17.0,15,10000,0,1782.0,565.0,332.0,123.0,238.0,other,S,50,Livraison standard,5,52,None,12881,4.35261237481562
141,8.0,7,20000,0,3906.0,1326.0,869.0,343.0,416.0,black,S,50,Livraison standard,2,32,None,43676,4.283611136550967
190,8.0,7,20000,1,2245.0,1059.0,999.0,562.0,776.0,other,2XS,50,Livraison standard,2,38,None,70773,4.038319698189988
137,8.0,7,20000,0,4640.0,1964.0,1121.0,493.0,686.0,black,S,50,Livraison standard,2,31,Quantité limitée !,19221,4.168097393475886
1502,8.0,7,20000,1,1800.0,575.0,364.0,143.0,208.0,green,S,21,Livraison standard,3,41,None,21892,4.146857299470127
149,8.0,84,20000,0,4468.0,1850.0,1277.0,583.0,782.0,other,S,50,Livraison standard,3,125,Quantité limitée !,48654,4.204916348090599
546,8.0,59,20000,1,3030.0,1257.0,884.0,326.0,432.0,white,S,15,Livraison standard,3,42,None,15006,4.083566573370652
771,16.0,14,10000,0,1974.0,581.0,275.0,91.0,154.0,black,XS,50,Livraison standard,4,47,Quantité limitée !,17621,4.3011747346915605
1431,8.0,7,20000,0,1542.0,573.0,448.0,212.0,305.0,blue,S,50,Livraison standard,3,20,None,11854,4.094904673527923
1418,16.0,108,10000,1,905.0,313.0,169.0,63.0,74.0,red,L,50,Livraison standard,4,40,Quantité limitée !,90105,4.2012984851007165
547,8.0,7,20000,0,1964.0,1029.0,1167.0,684.0,937.0,other,S,50,Livraison standard,3,40,None,32923,4.209154694286669
833,8.0,7,20000,0,911.0,340.0,279.0,169.0,316.0,orange,S,50,Livraison standard,3,24,None,3771,3.881463802704853
533,8.0,85,20000,0,1813.0,1162.0,1071.0,609.0,1030.0,other,XL,50,Livraison standard,3,47,None,402743,4.156715324661136
1,8.0,22,20000,1,2269.0,1027.0,1118.0,644.0,1077.0,green,XS,50,Livraison standard,2,41,Quantité limitée !,17752,3.8996732762505633
516,8.0,7,20000,1,4487.0,1955.0,1532.0,658.0,705.0,black,2XL,50,Livraison standard,2,38,None,40245,3.997589762703442
1370,16.0,14,10000,0,381.0,134.0,110.0,66.0,79.0,other,S,50,Livraison standard,4,41,None,39381,4.0663264010563465
1237,8.0,7,20000,0,902.0,319.0,324.0,191.0,322.0,black,S,50,Livraison standard,3,43,Quantité limitée !,65189,4.049640276733805
1196,8.0,7,20000,1,4150.0,1941.0,1495.0,731.0,1013.0,black,XS,49,Livraison standard,2,38,Quantité limitée !,70773,4.038319698189988
500,8.0,7,20000,0,1046.0,453.0,522.0,289.0,567.0,other,S,50,Livraison standard,2,47,None,402743,4.156715324661136
1152,8.0,75,20000,0,3360.0,1065.0,500.0,159.0,170.0,black_yellow,S,50,Livraison standard,2,36,Quantité limitée !,6719,4.447536835838666
402,8.0,7,20000,1,917.0,374.0,331.0,223.0,344.0,beige,M,38,Livraison standard,2,23,None,12309,4.0451702006661785
446,8.0,7,20000,0,1138.0,523.0,521.0,324.0,710.0,black,M,50,Livraison standard,2,43,None,54504,3.80168428005284
819,8.0,7,20000,0,1958.0,675.0,518.0,242.0,368.0,blue,S,50,Livraison standard,2,20,None,12476,3.9987976915678094
786,8.0,7,20000,0,1783.0,730.0,566.0,258.0,363.0,white,XS,2,Livraison standard,2,18,None,9492,4.130004214075011
1567,8.0,7,20000,1,1919.0,580.0,304.0,128.0,196.0,black,M,50,Livraison standard,2,44,None,16803,4.1550318395524615
962,8.0,7,20000,0,4640.0,1964.0,1121.0,493.0,686.0,black,S,50,Livraison standard,2,31,None,19221,4.168097393475886
1535,8.0,30,20000,0,2107.0,1226.0,1189.0,553.0,681.0,white,S,50,Livraison standard,2,42,None,73701,4.105127474525448
1533,16.0,14,10000,0,1311.0,663.0,461.0,291.0,353.0,other,S,50,Livraison standard,4,46,Quantité limitée !,78616,4.310432990739798
510,3.0,3,50000,0,5065.0,2342.0,1964.0,890.0,1147.0,red,S,50,Livraison standard,1,38,Quantité limitée !,151249,4.04915734980066
1390,7.0,6,20000,1,1182.0,393.0,257.0,90.0,97.0,green,S,50,Livraison standard,2,36,Quantité limitée !,8501,4.1648041406893315
1017,7.0,6,20000,1,1306.0,463.0,305.0,157.0,233.0,green,M,2,Standard Shipping,2,50,None,3271,4.069703454601039
